IBM
CODX
APT
MARK
GNUS
CAPR
AIM
APRN
INO
GNPX
NVAX
BYND
SAVE
ALT
VXRT
DGLY
AAL
NCLH
LK
UAL
SAVA
PLAY
CIDM
ROKU
TSLA
CLVS
M
BBBY
RAD
X
MNK
CCL
SPCE
PENN
WTRH
SRNE
RIOT
TLRY
BIMI
ERI
RCL
MITT
IO
CAR
OSTK
RH
FCEL
ACB
SM
AMC
PLCE
IVR
CAKE
SIG
LL
AMD
PSTI
DAL
PVAC
EAT
CRDF
FSCT
GME
TUP
MTDR
NAT
NIO
CHNG
DIN
SHAK
MFA
SKT
KSS
WYNN
BFYT
ENPH
CEMI
RRGB
AR
RRC
JBLU
NAVB
BIG
BCRX
MRNA
AA
MGM
MRO
HOME
TTD
MAC
MIST
SIX
BA
SURF
APA
GRUB
TCO
BXRX
ANF
NLS
SPY
XLF
SQQQ
EEM
QQQ
GDX
TQQQ
SPXS
EFA
IWM
HYG
XLE
VXX
SPXU
EWZ
FXI
VEA
SLV
IAU
SPXL
IEMG
VWO
SH
XLU
SDS
GDXJ
XLK
IEFA
TNA
USO
LQD
XLI
XLP
UPRO
UVXY
XLV
GLD
TLT
XOP
SDOW
TZA
SCHF
KRE
XLRE
UCO
EWJ
GOVT
QID
IYR
VNQ
JNK
XLB
BKLN
IVV
SOXS
RSX
UGAZ
AGG
EWH
IJR
VOO
XBI
VEU
PSQ
AMLP
INDA
VTI
DIA
PFF
USMV
TVIX
UDOW
SPLV
EZU
VGK
XRT
SHY
FAS
EWT
BND
XLY
ACWI
NUGT
ERX
EWG
SVXY
BIL
SPLG
EWY
IEF
SJNK
VIXY
SPTS
SMH
SCO
XLC
VXUS
LABD
SCHE
SPDW
BABA
CTBK
